TYPE,GENE,NTAX,ALEN,NPIP,NTAX_nogallus,ALEN_nogallus,NPIP_nogallus
CNEEs,mCE1014352,15,333,28,14,333,28
CNEEs,mCE1014365,14,299,13,13,299,13
CNEEs,mCE1014421,15,351,17,14,351,14
CNEEs,mCE1014433,14,443,31,13,443,30
CNEEs,mCE1014440,15,427,11,14,427,10
CNEEs,mCE1014450,14,314,10,13,314,8
CNEEs,mCE1014492,15,505,15,14,505,14
CNEEs,mCE1014496,15,396,10,14,396,9
CNEEs,mCE1014518,15,502,20,14,502,18
CNEEs,mCE1014521,15,371,11,14,371,10
CNEEs,mCE1014525,15,317,20,14,317,19
CNEEs,mCE1014536,15,457,18,14,457,16
CNEEs,mCE1014545,15,283,16,14,283,14
CNEEs,mCE1014577,14,398,36,13,398,35
CNEEs,mCE1014610,15,401,25,14,401,23
CNEEs,mCE1014631,15,285,21,14,285,19
CNEEs,mCE1014632,15,642,36,14,642,31
CNEEs,mCE1014652,15,316,20,14,316,19
CNEEs,mCE1014742,15,276,19,14,276,19
CNEEs,mCE1014744,15,268,7,14,268,7
CNEEs,mCE1014808,15,401,21,14,401,18
CNEEs,mCE1014820,15,311,13,14,311,12
CNEEs,mCE1014843,15,476,4,14,476,3
CNEEs,mCE1014848,15,267,21,14,267,21
CNEEs,mCE1014853,15,343,13,14,343,13
CNEEs,mCE1014855,15,372,18,14,372,15
CNEEs,mCE1014857,15,354,9,14,354,8
CNEEs,mCE1014861,15,359,11,14,359,11
CNEEs,mCE1014878,15,446,25,14,446,24
CNEEs,mCE1014883,15,307,11,14,307,10
CNEEs,mCE1014901,14,297,12,13,297,11
CNEEs,mCE1014904,15,303,16,14,303,14
CNEEs,mCE1015263,15,349,14,14,349,12
CNEEs,mCE1015280,15,255,10,14,255,9
CNEEs,mCE1015323,15,528,28,14,528,25
CNEEs,mCE1015511,15,286,12,14,286,12
CNEEs,mCE1015650,15,287,18,14,287,18
CNEEs,mCE1016123,15,283,15,14,283,12
CNEEs,mCE1016147,15,298,13,14,298,12
CNEEs,mCE1016167,15,1594,48,14,1594,43
CNEEs,mCE1016389,15,318,4,14,318,4
CNEEs,mCE1016436,15,327,23,14,327,23
CNEEs,mCE1016441,15,273,22,14,273,21
CNEEs,mCE1016479,15,393,15,14,393,10
CNEEs,mCE1016502,15,314,17,14,314,14
CNEEs,mCE1016601,15,293,20,14,293,20
CNEEs,mCE1016604,14,404,35,13,404,25
CNEEs,mCE1016723,15,274,11,14,274,8
CNEEs,mCE1016733,15,308,7,14,308,6
CNEEs,mCE1016759,15,296,15,14,296,14
CNEEs,mCE1016852,15,437,19,14,437,17
CNEEs,mCE1016853,15,283,19,14,283,18
CNEEs,mCE1016867,15,402,27,14,402,26
CNEEs,mCE1016969,15,349,23,14,349,22
CNEEs,mCE1017013,15,342,16,14,342,15
CNEEs,mCE1017094,15,346,13,14,346,13
CNEEs,mCE1017116,15,314,18,14,314,17
CNEEs,mCE1017121,15,363,22,14,363,18
CNEEs,mCE1017125,15,296,28,14,296,24
CNEEs,mCE1017142,15,295,8,14,295,8
CNEEs,mCE1017145,15,286,16,14,286,15
CNEEs,mCE1017194,15,412,22,14,412,17
CNEEs,mCE1017205,15,384,59,14,384,59
CNEEs,mCE1017223,15,461,5,14,461,5
CNEEs,mCE1017279,15,335,8,14,335,7
CNEEs,mCE1017290,15,283,16,14,283,12
CNEEs,mCE1017291,15,380,8,14,380,6
CNEEs,mCE1017315,15,474,23,14,474,21
CNEEs,mCE1017322,15,542,12,14,542,11
CNEEs,mCE1017353,15,339,24,14,339,23
CNEEs,mCE1017368,15,303,37,14,303,33
CNEEs,mCE1017379,15,286,9,14,286,8
CNEEs,mCE1017410,15,415,20,14,415,18
CNEEs,mCE1017418,15,328,17,14,328,13
CNEEs,mCE1017423,15,395,9,14,395,9
CNEEs,mCE1017426,15,362,21,14,362,19
CNEEs,mCE1017431,15,378,41,14,378,40
CNEEs,mCE1017451,15,262,14,14,262,11
CNEEs,mCE1017466,15,361,20,14,361,19
CNEEs,mCE1017476,15,279,14,14,279,12
CNEEs,mCE1017482,15,947,24,14,947,24
CNEEs,mCE1017483,14,505,12,13,505,12
CNEEs,mCE1017506,15,473,19,14,473,17
CNEEs,mCE1017508,15,250,6,14,250,4
CNEEs,mCE1017509,15,953,39,14,953,34
CNEEs,mCE1017525,15,403,11,14,403,10
CNEEs,mCE1017528,15,624,9,14,624,8
CNEEs,mCE1017531,15,371,5,14,371,4
CNEEs,mCE1017533,15,374,15,14,374,13
CNEEs,mCE1017541,15,350,18,14,350,18
CNEEs,mCE1017548,15,314,12,14,314,10
CNEEs,mCE1017554,15,849,21,14,849,19
CNEEs,mCE1017568,15,360,14,14,360,13
CNEEs,mCE1017587,15,542,22,14,542,17
CNEEs,mCE1017596,15,722,13,14,722,12
CNEEs,mCE1017631,15,443,35,14,443,32
CNEEs,mCE101765,15,418,23,14,418,20
CNEEs,mCE1017655,15,683,41,14,683,38
CNEEs,mCE1017674,15,753,37,14,753,36
CNEEs,mCE1017714,15,519,25,14,519,25
CNEEs,mCE1017715,15,313,34,14,313,29
CNEEs,mCE1017722,15,422,59,14,422,55
CNEEs,mCE1017739,15,379,11,14,379,11
CNEEs,mCE1017742,15,273,17,14,273,15
CNEEs,mCE1017750,15,551,18,14,551,13
CNEEs,mCE1017765,15,322,13,14,322,12
CNEEs,mCE1017788,15,276,8,14,276,7
CNEEs,mCE1017989,15,333,13,14,333,10
CNEEs,mCE1017992,15,353,18,14,353,15
CNEEs,mCE1018006,15,253,15,14,253,14
CNEEs,mCE1018035,14,539,23,13,539,20
CNEEs,mCE1018047,15,396,12,14,396,11
CNEEs,mCE1018059,15,318,15,14,318,10
CNEEs,mCE101817,15,367,20,14,367,18
CNEEs,mCE101818,15,254,18,14,254,17
CNEEs,mCE1018247,15,403,21,14,403,20
CNEEs,mCE1018248,15,304,4,14,304,3
CNEEs,mCE1018253,15,330,8,14,330,8
CNEEs,mCE10183,15,260,10,14,260,8
CNEEs,mCE101840,15,521,20,14,521,16
CNEEs,mCE101842,15,528,30,14,528,29
CNEEs,mCE101872,15,681,31,14,681,26
CNEEs,mCE101888,14,343,25,13,343,22
CNEEs,mCE1018906,15,321,21,14,321,19
CNEEs,mCE101908,15,788,43,14,788,41
CNEEs,mCE1019109,15,339,25,14,339,25
CNEEs,mCE101922,15,405,15,14,405,13
CNEEs,mCE101932,15,519,14,14,519,13
CNEEs,mCE101944,14,440,18,13,440,18
CNEEs,mCE101949,14,270,35,13,270,32
CNEEs,mCE101964,15,633,18,14,633,16
CNEEs,mCE101965,15,276,23,14,276,21
CNEEs,mCE1019705,15,282,9,14,282,8
CNEEs,mCE1019711,15,381,27,14,381,26
CNEEs,mCE101975,15,292,20,14,292,18
CNEEs,mCE1019800,14,684,22,13,684,16
CNEEs,mCE1019811,15,298,16,14,298,14
CNEEs,mCE1019834,15,578,19,14,578,18
CNEEs,mCE1019859,15,414,8,14,414,7
CNEEs,mCE1019924,15,277,56,14,277,55
CNEEs,mCE1019943,15,429,40,14,429,36
CNEEs,mCE1019955,15,463,35,14,463,33
CNEEs,mCE102025,15,319,26,14,319,25
CNEEs,mCE102048,15,384,12,14,384,11
CNEEs,mCE102056,15,434,14,14,434,12
CNEEs,mCE102069,15,470,12,14,470,12
CNEEs,mCE102082,15,256,8,14,256,8
CNEEs,mCE102104,15,260,11,14,260,9
CNEEs,mCE102108,14,522,19,13,522,16
CNEEs,mCE1021342,15,259,33,14,259,32
CNEEs,mCE1021350,15,265,12,14,265,11
CNEEs,mCE1021366,15,358,14,14,358,13
CNEEs,mCE1021375,15,308,22,14,308,21
CNEEs,mCE10214,15,534,12,14,534,11
CNEEs,mCE1021550,15,347,22,14,347,21
CNEEs,mCE1021631,15,553,30,14,553,28
CNEEs,mCE1021679,15,277,15,14,277,14
CNEEs,mCE1021686,15,318,39,14,318,38
CNEEs,mCE1021707,15,255,24,14,255,22
CNEEs,mCE1021718,15,273,20,14,273,17
CNEEs,mCE1021742,15,339,15,14,339,15
CNEEs,mCE1021745,14,368,15,13,368,12
CNEEs,mCE1021747,15,334,15,14,334,14
CNEEs,mCE1021753,15,330,8,14,330,8
CNEEs,mCE1021764,14,391,17,13,391,16
CNEEs,mCE1021765,14,281,4,13,281,4
CNEEs,mCE1022123,15,279,61,14,279,61
CNEEs,mCE1022453,15,270,26,14,270,24
CNEEs,mCE1022458,15,306,15,14,306,15
CNEEs,mCE1022464,15,429,20,14,429,19
CNEEs,mCE1022478,15,303,18,14,303,18
CNEEs,mCE1022764,15,446,20,14,446,17
CNEEs,mCE1022803,15,447,27,14,447,24
CNEEs,mCE1022806,15,726,18,14,726,17
CNEEs,mCE1022809,15,274,15,14,274,12
CNEEs,mCE1022813,14,380,10,13,380,8
CNEEs,mCE1022856,15,479,23,14,479,23
CNEEs,mCE1022875,14,720,8,13,720,7
CNEEs,mCE1022880,15,723,16,14,723,14
CNEEs,mCE1022916,15,254,13,14,254,12
CNEEs,mCE1022917,15,458,38,14,458,36
CNEEs,mCE1022965,15,490,15,14,490,13
CNEEs,mCE1022971,15,841,79,14,841,76
CNEEs,mCE1022977,15,479,32,14,479,32
CNEEs,mCE1023002,15,659,46,14,659,45
CNEEs,mCE1023014,15,409,32,14,409,30
CNEEs,mCE1023081,15,267,24,14,267,24
CNEEs,mCE1023082,14,331,17,13,331,16
CNEEs,mCE1023086,15,387,22,14,387,20
CNEEs,mCE1023089,15,771,39,14,771,37
CNEEs,mCE1023122,15,1221,17,14,1221,14
CNEEs,mCE1023145,15,649,23,14,649,22
CNEEs,mCE1023179,15,281,20,14,281,15
CNEEs,mCE1023212,15,438,19,14,438,17
CNEEs,mCE1023220,15,300,28,14,300,26
CNEEs,mCE1023240,15,304,8,14,304,7
CNEEs,mCE1023258,15,436,20,14,436,17
CNEEs,mCE1023269,15,578,41,14,578,34
CNEEs,mCE1023296,15,332,4,14,332,4
CNEEs,mCE1023305,15,252,11,14,252,9
CNEEs,mCE1023308,15,390,20,14,390,20
CNEEs,mCE1023314,15,357,7,14,357,7
CNEEs,mCE1023394,15,385,31,14,385,29
CNEEs,mCE102369,15,351,27,14,351,23
CNEEs,mCE102371,15,275,27,14,275,26
CNEEs,mCE102385,15,499,36,14,499,32
CNEEs,mCE102407,15,368,18,14,368,17
CNEEs,mCE102415,14,298,25,13,298,24
CNEEs,mCE1024394,15,460,30,14,460,29
CNEEs,mCE1024409,15,373,16,14,373,16
CNEEs,mCE1024412,15,299,14,14,299,12
CNEEs,mCE102486,15,416,26,14,416,20
CNEEs,mCE102508,15,314,21,14,314,18
CNEEs,mCE1025263,15,577,23,14,577,22
CNEEs,mCE1025295,15,454,9,14,454,8
CNEEs,mCE1025310,15,266,17,14,266,17
CNEEs,mCE1025335,15,403,9,14,403,9
CNEEs,mCE1025607,15,251,8,14,251,8
CNEEs,mCE102562,15,339,15,14,339,12
CNEEs,mCE102572,15,304,16,14,304,13
CNEEs,mCE102578,15,477,27,14,477,24
CNEEs,mCE102581,15,550,38,14,550,34
CNEEs,mCE1025906,15,260,16,14,260,13
CNEEs,mCE102592,15,393,18,14,393,17
CNEEs,mCE102597,15,303,23,14,303,20
CNEEs,mCE1026046,15,292,23,14,292,21
CNEEs,mCE1026643,15,302,17,14,302,13
CNEEs,mCE1026671,15,317,33,14,317,32
CNEEs,mCE1026694,14,268,14,13,268,13
CNEEs,mCE10269,15,434,22,14,434,21
CNEEs,mCE102720,15,378,15,14,378,15
CNEEs,mCE102721,15,286,17,14,286,15
CNEEs,mCE1027360,14,551,58,13,551,57
CNEEs,mCE102740,15,344,14,14,344,12
CNEEs,mCE102742,15,410,21,14,410,21
CNEEs,mCE1027515,15,387,25,14,387,23
CNEEs,mCE1027521,15,342,10,14,342,10
CNEEs,mCE1027537,15,261,20,14,261,20
CNEEs,mCE10276,15,290,31,14,290,26
CNEEs,mCE1027639,15,312,14,14,312,14
CNEEs,mCE1027729,15,264,19,14,264,19
CNEEs,mCE1027789,15,262,8,14,262,8
CNEEs,mCE1027973,15,317,19,14,317,18
CNEEs,mCE1028027,15,415,10,14,415,9
CNEEs,mCE1028031,15,383,13,14,383,11
CNEEs,mCE1028039,15,262,11,14,262,10
CNEEs,mCE1028054,15,346,13,14,346,11
CNEEs,mCE10284,15,300,15,14,300,10
CNEEs,mCE1028596,15,285,16,14,285,15
CNEEs,mCE10287,15,270,4,14,270,4
CNEEs,mCE1028717,15,284,18,14,284,17
CNEEs,mCE1028719,15,374,21,14,374,19
CNEEs,mCE1028723,15,447,21,14,447,21
CNEEs,mCE1028746,15,329,18,14,329,15
CNEEs,mCE1028811,15,308,23,14,308,21
CNEEs,mCE1028816,15,306,23,14,306,19
CNEEs,mCE1029261,15,290,44,14,290,41
CNEEs,mCE1029266,15,306,35,14,306,31
CNEEs,mCE1029733,15,277,18,14,277,18
CNEEs,mCE1029756,15,348,36,14,348,36
CNEEs,mCE1029876,14,320,21,13,320,18
CNEEs,mCE1031655,15,492,39,14,492,35
CNEEs,mCE1031658,15,511,36,14,511,34
CNEEs,mCE1031659,15,276,18,14,276,16
CNEEs,mCE1031738,15,391,21,14,391,21
CNEEs,mCE10318,14,489,37,13,489,34
CNEEs,mCE1032674,15,332,29,14,332,28
CNEEs,mCE1032806,15,326,17,14,326,15
CNEEs,mCE1032809,15,282,27,14,282,24
CNEEs,mCE1033140,15,424,23,14,424,21
CNEEs,mCE1033334,15,275,19,14,275,16
CNEEs,mCE1033427,15,512,36,14,512,30
CNEEs,mCE103351,15,303,18,14,303,14
CNEEs,mCE1033965,15,318,17,14,318,16
CNEEs,mCE1034050,15,301,10,14,301,8
CNEEs,mCE1034351,15,274,17,14,274,15
CNEEs,mCE1034712,15,353,24,14,353,20
CNEEs,mCE1034881,15,296,31,14,296,29
CNEEs,mCE1034961,15,546,33,14,546,30
CNEEs,mCE1034972,15,280,35,14,280,33
CNEEs,mCE10350,15,318,12,14,318,10
CNEEs,mCE1035109,15,275,18,14,275,17
CNEEs,mCE1036010,15,271,15,14,271,13
CNEEs,mCE1036032,15,353,7,14,353,6
CNEEs,mCE1036466,15,301,26,14,301,25
CNEEs,mCE1036484,15,254,13,14,254,9
CNEEs,mCE1036988,15,374,19,14,374,19
CNEEs,mCE1037085,15,259,21,14,259,17
CNEEs,mCE1037088,15,283,8,14,283,6
CNEEs,mCE1037329,15,473,29,14,473,27
CNEEs,mCE1039413,15,364,23,14,364,22
CNEEs,mCE1039445,15,440,17,14,440,13
CNEEs,mCE1039791,15,286,13,14,286,12
CNEEs,mCE1040307,15,396,35,14,396,33
CNEEs,mCE1040345,15,342,30,14,342,28
CNEEs,mCE1040409,15,408,15,14,408,14
CNEEs,mCE1040415,15,325,14,14,325,14
CNEEs,mCE1040471,15,439,32,14,439,28
CNEEs,mCE1040474,14,673,24,13,673,22
CNEEs,mCE1040483,15,463,17,14,463,17
CNEEs,mCE1040486,15,273,15,14,273,13
CNEEs,mCE1040495,15,362,14,14,362,14
CNEEs,mCE1040627,15,423,13,14,423,12
CNEEs,mCE1040632,15,408,11,14,408,11
CNEEs,mCE1040658,15,255,26,14,255,25
CNEEs,mCE1040667,15,328,26,14,328,25
CNEEs,mCE1040705,14,283,16,13,283,16
CNEEs,mCE1040748,15,412,18,14,412,16
CNEEs,mCE1040755,15,599,21,14,599,19
CNEEs,mCE1040764,15,1052,43,14,1052,41
CNEEs,mCE1040816,15,276,17,14,276,17
CNEEs,mCE1041073,15,407,13,14,407,10
CNEEs,mCE1041086,14,494,27,13,494,27
CNEEs,mCE1041348,15,294,17,14,294,16
CNEEs,mCE1041509,15,336,18,14,336,15
CNEEs,mCE1041565,15,372,30,14,372,25
CNEEs,mCE1041969,15,401,20,14,401,17
CNEEs,mCE1041983,15,736,19,14,736,17
CNEEs,mCE1041985,15,425,25,14,425,22
CNEEs,mCE1041996,15,330,8,14,330,6
CNEEs,mCE1042003,15,665,16,14,665,16
CNEEs,mCE1042026,15,322,33,14,322,32
CNEEs,mCE1042029,15,333,25,14,333,23
CNEEs,mCE1042041,15,531,39,14,531,39
CNEEs,mCE1042091,15,396,25,14,396,22
CNEEs,mCE1042100,15,275,12,14,275,11
CNEEs,mCE1042113,15,308,16,14,308,16
CNEEs,mCE1042133,15,412,44,14,412,38
CNEEs,mCE1042169,15,353,14,14,353,14
CNEEs,mCE1042187,15,514,32,14,514,31
CNEEs,mCE1042200,15,290,8,14,290,8
CNEEs,mCE1042211,15,411,18,14,411,17
CNEEs,mCE1042288,15,420,13,14,420,12
CNEEs,mCE1042291,15,458,17,14,458,16
CNEEs,mCE1042293,15,283,11,14,283,11
CNEEs,mCE1042330,15,288,9,14,288,9
CNEEs,mCE1042336,15,311,11,14,311,10
CNEEs,mCE1042350,15,311,11,14,311,10
CNEEs,mCE1042352,15,540,15,14,540,13
CNEEs,mCE1042356,15,261,10,14,261,8
CNEEs,mCE1042364,15,336,14,14,336,12
CNEEs,mCE1042386,15,392,21,14,392,20
CNEEs,mCE1042403,14,290,12,13,290,10
CNEEs,mCE1042462,15,424,33,14,424,29
CNEEs,mCE1042465,15,326,18,14,326,18
CNEEs,mCE1042503,15,517,33,14,517,29
CNEEs,mCE1042577,15,339,22,14,339,20
CNEEs,mCE1042594,14,450,11,13,450,11
CNEEs,mCE10427,15,400,15,14,400,14
CNEEs,mCE1042726,15,380,11,14,380,9
CNEEs,mCE1042793,15,441,20,14,441,18
CNEEs,mCE1042877,15,282,13,14,282,12
CNEEs,mCE1042898,15,338,14,14,338,14
CNEEs,mCE1042953,15,337,20,14,337,17
CNEEs,mCE1042957,15,361,12,14,361,9
CNEEs,mCE1042963,15,271,20,14,271,17
CNEEs,mCE1042978,15,402,9,14,402,9
CNEEs,mCE1043005,15,367,9,14,367,8
CNEEs,mCE1043024,15,851,27,14,851,25
CNEEs,mCE1043032,15,284,31,14,284,30
CNEEs,mCE1043060,15,261,7,14,261,7
CNEEs,mCE1043067,15,553,17,14,553,15
CNEEs,mCE1043115,15,290,21,14,290,20
CNEEs,mCE1043130,15,280,13,14,280,12
CNEEs,mCE1043137,15,501,15,14,501,15
CNEEs,mCE1043141,15,306,28,14,306,25
CNEEs,mCE1043145,15,413,17,14,413,15
CNEEs,mCE1043152,15,441,19,14,441,18
CNEEs,mCE1043165,15,273,13,14,273,10
CNEEs,mCE1043168,15,296,18,14,296,16
CNEEs,mCE1043181,15,436,33,14,436,30
CNEEs,mCE1043193,15,268,19,14,268,18
CNEEs,mCE1043223,14,420,8,13,420,4
CNEEs,mCE1043230,14,469,23,13,469,23
CNEEs,mCE1043326,15,354,22,14,354,21
CNEEs,mCE1043330,15,318,8,14,318,6
CNEEs,mCE1043506,15,297,12,14,297,12
CNEEs,mCE1043510,15,479,28,14,479,23
CNEEs,mCE1043527,15,285,25,14,285,24
CNEEs,mCE1043536,15,280,21,14,280,18
CNEEs,mCE1043588,15,343,13,14,343,13
CNEEs,mCE1043622,15,264,18,14,264,16
CNEEs,mCE1043642,15,267,15,14,267,15
CNEEs,mCE1043648,15,431,30,14,431,27
CNEEs,mCE1043693,15,303,13,14,303,12
CNEEs,mCE1043713,15,286,22,14,286,19
CNEEs,mCE1043733,15,356,22,14,356,22
CNEEs,mCE1043758,15,260,11,14,260,11
CNEEs,mCE1043762,15,383,17,14,383,16
CNEEs,mCE1043772,15,599,15,14,599,12
CNEEs,mCE1043796,15,793,28,14,793,26
CNEEs,mCE1043800,15,273,7,14,273,6
CNEEs,mCE1043833,15,298,12,14,298,12
CNEEs,mCE1043842,15,344,9,14,344,9
CNEEs,mCE1043845,14,415,23,13,415,21
CNEEs,mCE1043887,15,362,8,14,362,8
CNEEs,mCE1043894,15,513,36,14,513,31
CNEEs,mCE1043895,15,300,21,14,300,19
CNEEs,mCE1043911,14,366,16,13,366,12
CNEEs,mCE1043913,14,277,17,13,277,15
CNEEs,mCE1043921,15,715,37,14,715,35
CNEEs,mCE1043929,15,264,21,14,264,20
CNEEs,mCE1043930,15,285,20,14,285,17
CNEEs,mCE1043931,15,352,19,14,352,19
CNEEs,mCE1044005,15,293,19,14,293,18
CNEEs,mCE1044019,14,326,17,13,326,15
CNEEs,mCE1044027,15,365,20,14,365,19
CNEEs,mCE1044037,15,279,22,14,279,21
CNEEs,mCE1044059,15,306,20,14,306,19
CNEEs,mCE1044078,15,302,30,14,302,30
CNEEs,mCE1044121,15,363,39,14,363,34
CNEEs,mCE1044149,15,295,13,14,295,10
CNEEs,mCE1044206,15,797,44,14,797,41
CNEEs,mCE1044208,15,279,26,14,279,24
CNEEs,mCE1044255,15,607,19,14,607,17
CNEEs,mCE1044266,15,266,23,14,266,19
CNEEs,mCE1044291,15,445,14,14,445,12
CNEEs,mCE1044323,15,262,10,14,262,10
CNEEs,mCE1044327,15,384,38,14,384,35
CNEEs,mCE1044372,14,303,13,13,303,12
CNEEs,mCE1044406,15,511,26,14,511,25
CNEEs,mCE1044421,14,273,29,13,273,28
CNEEs,mCE1044428,15,446,23,14,446,20
CNEEs,mCE1044434,15,319,14,14,319,13
CNEEs,mCE1044459,15,338,11,14,338,11
CNEEs,mCE1044467,15,279,7,14,279,7
CNEEs,mCE1044501,15,428,24,14,428,21
CNEEs,mCE1044530,15,312,8,14,312,8
CNEEs,mCE1044542,15,311,16,14,311,16
CNEEs,mCE1044545,15,373,8,14,373,8
CNEEs,mCE1044583,15,385,15,14,385,12
CNEEs,mCE1044585,15,325,10,14,325,10
CNEEs,mCE1044621,15,303,14,14,303,12
CNEEs,mCE1044625,15,272,6,14,272,5
CNEEs,mCE1044630,15,304,29,14,304,28
CNEEs,mCE1044662,15,326,6,14,326,4
CNEEs,mCE1044684,15,436,25,14,436,22
CNEEs,mCE1044720,15,254,7,14,254,6
CNEEs,mCE1044723,15,486,29,14,486,28
CNEEs,mCE1044736,15,523,27,14,523,27
CNEEs,mCE1044752,15,332,20,14,332,19
CNEEs,mCE1044781,15,427,23,14,427,15
CNEEs,mCE1044818,15,430,7,14,430,7
CNEEs,mCE1044822,15,371,25,14,371,23
CNEEs,mCE1044849,15,323,13,14,323,12
CNEEs,mCE1044850,15,307,26,14,307,22
CNEEs,mCE1044894,15,284,7,14,284,6
CNEEs,mCE1044912,15,523,25,14,523,24
CNEEs,mCE1044958,14,307,20,13,307,17
CNEEs,mCE1045042,15,372,18,14,372,16
CNEEs,mCE1045079,15,537,21,14,537,19
CNEEs,mCE1045142,14,411,20,13,411,20
CNEEs,mCE1045188,15,343,20,14,343,19
CNEEs,mCE1045189,15,294,22,14,294,20
CNEEs,mCE1045194,15,288,4,14,288,2
CNEEs,mCE1045198,15,280,17,14,280,15
CNEEs,mCE1045232,15,265,3,14,265,3
